
classes:   0%|          | 0/3423 [00:00<?, ?it/s]
classes:  20%|##        | 694/3423 [00:03<00:15, 180.17it/s]
classes:  20%|##        | 694/3423 [00:20<00:15, 180.17it/s]
classes:  21%|##        | 702/3423 [00:21<01:50, 24.53it/s] 
classes:  21%|##        | 703/3423 [00:23<02:08, 21.13it/s]
classes:  21%|##        | 703/3423 [00:40<02:08, 21.13it/s]
classes:  21%|##        | 710/3423 [00:40<05:10,  8.74it/s]
classes:  21%|##        | 711/3423 [00:42<05:40,  7.95it/s]
classes:  21%|##        | 716/3423 [00:59<11:23,  3.96it/s]
classes:  21%|##        | 717/3423 [01:01<11:58,  3.77it/s]
classes:  21%|##1       | 720/3423 [01:06<14:50,  3.03it/s]
classes:  21%|##1       | 722/3423 [01:10<17:55,  2.51it/s]
classes:  21%|##1       | 724/3423 [01:13<21:21,  2.11it/s]
classes:  21%|##1       | 725/3423 [01:15<23:46,  1.89it/s]
classes:  21%|##1       | 726/3423 [01:17<26:25,  1.70it/s]
classes:  21%|##1       | 727/3423 [01:19<30:16,  1.48it/s]
classes:  21%|##1       | 728/3423 [01:20<34:43,  1.29it/s]
classes:  21%|##1       | 729/3423 [01:22<41:37,  1.08it/s]
classes:  21%|##1       | 730/3423 [01:24<47:44,  1.06s/it]
classes:  21%|##1       | 731/3423 [01:26<51:59,  1.16s/it]
classes:  21%|##1       | 732/3423 [01:28<55:51,  1.25s/it]
classes:  21%|##1       | 733/3423 [01:29<59:19,  1.32s/it]
classes:  21%|##1       | 734/3423 [01:31<1:04:33,  1.44s/it]
classes:  21%|##1       | 735/3423 [01:33<1:06:38,  1.49s/it]
classes:  22%|##1       | 736/3423 [01:35<1:15:18,  1.68s/it]
classes:  22%|##1       | 737/3423 [01:37<1:15:16,  1.68s/it]
classes:  22%|##1       | 738/3423 [01:39<1:18:45,  1.76s/it]
classes:  22%|##1       | 739/3423 [01:40<1:15:50,  1.70s/it]
classes:  22%|##1       | 740/3423 [01:42<1:14:45,  1.67s/it]
classes:  22%|##1       | 741/3423 [01:43<1:14:56,  1.68s/it]
classes:  22%|##1       | 742/3423 [01:45<1:19:13,  1.77s/it]
classes:  22%|##1       | 743/3423 [01:47<1:20:04,  1.79s/it]
classes:  22%|##1       | 744/3423 [01:49<1:20:42,  1.81s/it]
classes:  22%|##1       | 745/3423 [01:51<1:21:30,  1.83s/it]
classes:  22%|##1       | 746/3423 [01:53<1:20:43,  1.81s/it]
classes:  22%|##1       | 747/3423 [01:55<1:21:31,  1.83s/it]
classes:  22%|##1       | 748/3423 [01:56<1:19:55,  1.79s/it]
classes:  22%|##1       | 749/3423 [01:58<1:19:50,  1.79s/it]
classes:  22%|##1       | 750/3423 [02:00<1:17:27,  1.74s/it]
classes:  22%|##1       | 751/3423 [02:02<1:19:58,  1.80s/it]
classes:  22%|##1       | 752/3423 [02:04<1:21:26,  1.83s/it]
classes:  22%|##1       | 753/3423 [02:06<1:26:04,  1.93s/it]
classes:  22%|##2       | 754/3423 [02:08<1:26:49,  1.95s/it]
classes:  22%|##2       | 755/3423 [02:09<1:23:51,  1.89s/it]
classes:  22%|##2       | 756/3423 [02:11<1:19:04,  1.78s/it]
classes:  22%|##2       | 757/3423 [02:12<1:13:36,  1.66s/it]
classes:  22%|##2       | 758/3423 [02:14<1:08:48,  1.55s/it]
classes:  22%|##2       | 759/3423 [02:15<1:04:31,  1.45s/it]
classes:  22%|##2       | 760/3423 [02:16<1:05:45,  1.48s/it]
classes:  22%|##2       | 761/3423 [02:18<1:04:46,  1.46s/it]
classes:  22%|##2       | 762/3423 [02:19<1:05:48,  1.48s/it]
classes:  22%|##2       | 763/3423 [02:22<1:19:04,  1.78s/it]
classes:  22%|##2       | 764/3423 [02:23<1:16:24,  1.72s/it]
classes:  22%|##2       | 765/3423 [02:25<1:13:08,  1.65s/it]
classes:  22%|##2       | 766/3423 [02:31<2:18:31,  3.13s/it]
classes:  22%|##2       | 767/3423 [02:33<2:02:36,  2.77s/it]
classes:  22%|##2       | 768/3423 [02:35<1:45:03,  2.37s/it]
classes:  22%|##2       | 769/3423 [02:37<1:45:52,  2.39s/it]
classes:  22%|##2       | 770/3423 [02:40<1:44:03,  2.35s/it]
classes:  23%|##2       | 771/3423 [02:42<1:43:31,  2.34s/it]
classes:  23%|##2       | 772/3423 [02:44<1:34:57,  2.15s/it]
classes:  23%|##2       | 773/3423 [02:46<1:32:06,  2.09s/it]
classes:  23%|##2       | 774/3423 [02:48<1:31:48,  2.08s/it]
classes:  23%|##2       | 775/3423 [02:49<1:27:59,  1.99s/it]
classes:  23%|##2       | 776/3423 [02:52<1:32:28,  2.10s/it]
classes:  23%|##2       | 777/3423 [02:54<1:28:40,  2.01s/it]
classes:  23%|##2       | 778/3423 [02:56<1:31:40,  2.08s/it]
classes:  23%|##2       | 779/3423 [02:57<1:24:47,  1.92s/it]
classes:  23%|##2       | 780/3423 [02:59<1:26:43,  1.97s/it]
classes:  23%|##2       | 781/3423 [03:01<1:26:31,  1.96s/it]
classes:  23%|##2       | 782/3423 [03:03<1:23:46,  1.90s/it]
classes:  23%|##2       | 783/3423 [03:05<1:23:01,  1.89s/it]
classes:  23%|##2       | 784/3423 [03:07<1:22:12,  1.87s/it]
classes:  23%|##2       | 785/3423 [03:09<1:22:21,  1.87s/it]
classes:  23%|##2       | 786/3423 [03:11<1:23:55,  1.91s/it]
classes:  23%|##2       | 787/3423 [03:13<1:25:00,  1.94s/it]
classes:  23%|##3       | 788/3423 [03:14<1:21:12,  1.85s/it]
classes:  23%|##3       | 789/3423 [03:17<1:25:56,  1.96s/it]
classes:  23%|##3       | 790/3423 [03:18<1:22:13,  1.87s/it]
classes:  23%|##3       | 791/3423 [03:20<1:26:25,  1.97s/it]
classes:  23%|##3       | 792/3423 [03:23<1:29:16,  2.04s/it]
classes:  23%|##3       | 793/3423 [03:25<1:30:07,  2.06s/it]
classes:  23%|##3       | 794/3423 [03:27<1:29:25,  2.04s/it]
classes:  23%|##3       | 795/3423 [03:29<1:28:43,  2.03s/it]
classes:  23%|##3       | 796/3423 [03:31<1:26:23,  1.97s/it]
classes:  23%|##3       | 797/3423 [03:33<1:36:59,  2.22s/it]
